"","latitude","longitude","count"
"347",-73.8528356,40.8787602,3
"348",-73.9870435,40.7421612,1162
"349",-73.9605343,40.8124199,2408
"350",-73.9870435,40.7421612,1162
"351",-73.859314,40.7067825,23
"352",-73.9329531,40.6391626,63
"353",-73.9882141,40.7607273,280
"354",-73.9656177,40.7744146,1143
"355",-74.0061503,40.7238197,58
"356",-73.9946697,40.7527053,146
"357",-73.9864758,40.6899225,162
"358",-73.8595039,40.8800505,9
"359",-73.9439347,40.8100322,149
"360",-73.9499165,40.6760979,111
"361",-73.9402005,40.7971286,49
"362",-73.8961789,40.6579899,1009
"363",-73.8634034,40.8412549,50
"364",-73.7639261,40.7241362,455
"365",-73.9228108,40.7030495,19
"366",-74.1062182,40.6331114,39
"367",-73.7472472,40.6049136,4
"368",-74.0088256,40.7060361,45
"369",-73.9903028,40.6896859,108
"370",-73.8801257,40.7501911,458
"371",-73.9840674,40.7491122,304
"372",-73.9045668,40.8818964,17
"373",-73.9594952,40.7630174,841
"374",-73.9359415,40.6492131,42
"375",-73.7616373,40.7414102,51
"376",-74.0101623,40.6219721,36
"377",-73.9244701,40.7049537,14
"378",-73.9969743,40.6262341,123
"379",-73.8961789,40.6579899,1009
"380",-73.9398044,40.5839224,78
"381",-73.7677501,40.6835056,2
"382",-73.7926121,40.7430227,82
"383",-73.9395701,40.6561019,62
"384",-73.9926518,40.718733,37
"385",-73.9837005,40.6942157,199
"386",-73.994463,40.692435,13
"387",-73.9510024,40.7825512,103
"388",-73.8804701,40.8461878,5
"389",-73.9765611,40.7483573,88
"390",-73.9670635,40.7961037,14
"391",-73.991633,40.754707,261
"392",-73.8913504,40.8506262,33
"393",-73.9033274,40.6418832,571
"394",-73.9656177,40.7744146,1143
"395",-73.839515,40.7672943,121
"396",-73.8687903,40.7276032,9
"397",-73.8874273,40.8595729,175
"398",-73.9605343,40.8124199,2408
"399",-73.9151139,40.7036838,24
"400",-74.0330274,40.6169443,31
"401",-74.007206,40.637755,726
"402",87.8549755,22.9867569,668
"403",-73.8759516,40.7422568,63
"404",-73.9870435,40.7421612,1162
"405",-73.8778262,40.8268965,22
"406",-74.2016859,40.5558459,48
"407",-73.9650421,40.8001992,27
"408",-73.8676435,40.8563009,464
"409",-73.9978453,40.7255525,119
"410",-73.9151139,40.7036838,24
"411",-73.9243365,40.7659885,72
"412",-73.8745917,40.746542,12
"413",-73.9986715,40.7258134,50
"414",-73.9363198,40.7020774,62
"415",-73.8877819,40.8374083,345
"416",-73.760789,40.7545167,33
"417",-73.96966,40.7570052,145
"418",-73.7890685,40.709844,143
"419",-73.8864111,40.8825489,5
"420",-73.9683862,40.612878,797
"421",-73.9972835,40.7194008,83
"422",-73.8121073,40.7190036,75
"423",-73.873036,40.7340415,933
"424",-74.001068,40.7391446,130
"425",-73.9941285,40.7142806,15
"426",-74.021729,40.620679,4
"427",-73.7440874,40.7187561,6
"428",-74.0095475,40.7134022,114
"429",-73.8308129,40.7031244,20
"430",-74.0803084,40.6243404,59
"431",-73.8875183,40.8647526,272
"432",-73.8071227,40.7304195,87
"433",-73.8386868,40.7239391,32
"434",-73.985207,40.7660018,132
"435",-73.8904498,40.6584573,377
"436",-73.9683862,40.612878,797
"437",-73.7608553,40.6855242,12
"438",-73.9370344,40.8364653,26
"439",-73.9874564,40.7620366,118
"440",-74.0163773,40.7167654,16
"441",-73.8697898,40.830898,263
"442",-73.9863372,40.7362057,123
"443",-74.1072426,40.6127543,292
"444",-73.7576577,40.7336195,167
"445",-73.9790108,40.7873364,140
"446",-73.954048,40.808865,32
"447",-73.9304588,40.6885403,63
"448",-74.0078129,40.7317894,165
"449",-73.8801257,40.7501911,458
"450",-73.9870435,40.7421612,1162
"451",-73.8830712,40.7311882,134
"452",-73.9496202,40.6974587,57
"453",-73.977844,40.7464842,58
"454",-73.7934654,40.5951076,5
"455",-73.9605343,40.8124199,2408
"456",-73.9716919,40.7545952,59
"457",-73.9909683,40.7331644,141
"458",-73.9870435,40.7421612,1162
"459",-73.9631313,40.6136033,802
"460",-73.7639261,40.7241362,455
"461",-73.737165,40.708857,523
"462",-73.9631313,40.6136033,802
"463",-73.8176071,40.7767102,46
"464",-73.8250952,40.7359744,374
"465",-73.9067424,40.8235873,16
"466",-73.9485659,40.6414369,752
"467",-73.9900696,40.7517748,840
"468",-73.9379716,40.5950888,10
"469",-73.84066,40.880436,47
"470",-73.9428169,40.8356381,17
"471",-74.0069265,40.7103576,26
"472",-74.1610045,40.5580349,4
"473",-73.984435,40.7287766,118
"474",-73.9479145,40.6625308,24
"475",-73.9600777,40.7733428,967
"476",-73.9189152,40.6349533,280
"477",-73.9847724,40.7692123,437
"478",-73.8304514,40.5809995,3
"479",-73.9813799,40.739763,47
"480",-73.8946438,40.8656544,652
"481",-73.9825664,40.7313474,191
"482",-73.9992614,40.6256017,55
"483",-73.9853266,40.7735391,23
"484",-73.7639261,40.7241362,455
"485",-73.9422278,40.7059689,26
"486",-73.9521792,40.5783543,10
"487",-73.9883005,40.7183659,64
